domain_name,age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
Where,Young,71.47,-0.31800184,,,,-0.1859999366992145
Where,Young,71.56,-0.090858296,,,,0.03245055555102075
Where,Young,71.85,-0.34703606,,,,0.308192439187975
Where,Young,71.93,-0.03165805,,,,-0.08055778132462652
Where,Young,72.08,0.3974338,,,,0.21270379530788866
Where,Young,72.17,,,,,
Where,Young,72.2,0.038829546,,,,-0.11403790757859184
Where,Young,72.23,,,,,
Where,Young,72.26,-0.15333362,,,,-0.11632958294493995
Where,Young,72.3,,,,,
Where,Young,72.55,-0.74633425,,,,-0.06684429754502741
Where,Young,72.6,0.8525857,,,,0.16532903714801298
Where,Young,72.62,,,,,
Where,Young,72.8,,,,,
Where,Young,72.83,,,,,
Where,Young,72.86,0.9468073,,,,0.3468912519088134
Where,Young,72.87,,,,,
Where,Young,72.94,0.022343142,,,,0.05925892278314446
Where,Young,73.02,,,,,
Where,Young,73.05,,,,,
Where,Young,73.19,,,,,
Where,Young,73.64,,,,,
Where,Young,73.79,,,,,
Where,Young,73.83,,,,,
Where,Young,74.0,,,,,
Where,Young,74.19,0.43332618,,,,0.3173107524288925
Where,Young,74.28,-0.020196838,,,,0.2572488358640598
Where,Young,74.3,,,,,
Where,Young,74.46,0.051550657,,,,-0.01843608676112199
Where,Young,74.48,,,,,
Where,Young,74.58,-0.48679298,,,,-0.36260421267112364
Where,Young,74.88,,,,,
Where,Young,74.91,,,,,
Where,Young,75.21,,,,,
Where,Young,75.27,,,,,
Where,Young,75.34,,,,,
Where,Young,75.46,0.8867782,,,,0.026287048713324518
Where,Young,75.71,,,,,
Where,Young,75.74,0.3539766,,,,-0.14554500950804183
Where,Young,76.21,,,,,
Where,Young,76.85,-0.9876903,,,,-0.6608998268766006
Where,Young,78.25,-0.95550704,,,,-0.6770039324167296
Where,Young,78.28,,,,,
Where,Young,78.36,,,,,
Where,Young,78.57,,,,,
Where,Young,78.76,,,,,
Where,Young,78.84,,,,,
Where,Young,79.34,,,,,
Where,Young,79.66,0.24629961,,,,-0.24883530556409614
Where,Young,79.75,,,,,
Where,Young,79.78,,,,,
Where,Young,79.96,,,,,
Where,Young,79.98,-0.4592081,,,,-0.33184321959540275
Where,Young,80.13,,,,,
Where,Young,80.16,0.46258765,,,,0.4501474034327302
Where,Young,80.24,,,,,
Where,Young,80.64,0.08904186,,,,-0.22975689906018024
Where,Young,80.88,-0.091231495,,,,0.3466325376463969
